source,airline,origin,destination,travel_date,booking_date,departure_time,arrival_time,stops,duration_minutes,cabin_class,fare,currency,days_left,collected_at
demo,SpiceJet,HYD,DEL,2024-02-27,2024-02-19,10:00,12:30,0,150,Economy,6705.0,INR,8,2026-09-05 15:43:33.401117
demo,Vistara,BOM,DEL,2023-04-21,2023-03-12,08:00,10:50,1,170,Economy,5622.0,INR,40,2026-09-05 15:43:33.401117
demo,Go First,AMD,DEL,2024-03-05,2024-01-01,16:00,17:20,0,80,Economy,2633.0,INR,64,2026-09-05 15:43:33.401117
demo,Vistara,HYD,DEL,2023-04-10,2023-03-29,18:00,21:55,1,235,Economy,8285.0,INR,12,2026-09-05 15:43:33.401117
demo,IndiGo,MAA,DEL,2023-08-31,2023-07-13,16:00,19:00,0,180,Economy,4439.0,INR,49,2026-09-05 15:43:33.401638
demo,Go First,JAI,BOM,2024-04-13,2024-03-23,06:00,08:00,0,120,Business,18264.0,INR,21,2026-09-05 15:43:33.401638
demo,Air India,BLR,DEL,2023-07-13,2023-05-11,06:00,08:45,0,165,Economy,5679.0,INR,63,2026-09-05 15:43:33.401638
demo,SpiceJet,BLR,MAA,2024-02-19,2023-11-24,18:00,20:32,2,152,Premium Economy,2528.0,INR,87,2026-09-05 15:43:33.401638
demo,SpiceJet,DEL,HYD,2023-03-26,2023-02-05,12:00,14:30,0,150,Economy,4744.0,INR,49,2026-09-05 15:43:33.401638
demo,Go First,BOM,MAA,2023-08-13,2023-06-13,08:00,10:00,0,120,Business,11112.0,INR,61,2026-09-05 15:43:33.401638
demo,AirAsia India,AMD,DEL,2023-04-14,2023-02-02,06:00,08:17,1,137,Economy,2350.0,INR,71,2026-09-05 15:43:33.402157
demo,Vistara,DEL,HYD,2023-11-05,2023-10-24,10:00,12:30,0,150,Business,28655.0,INR,12,2026-09-05 15:43:33.402157
demo,Vistara,JAI,BOM,2024-01-18,2023-11-22,20:00,22:00,0,120,Economy,6222.0,INR,57,2026-09-05 15:43:33.402157
demo,Air India,MAA,BOM,2024-04-04,2024-03-07,18:00,20:53,1,173,Economy,4705.0,INR,28,2026-09-05 15:43:33.402157
demo,IndiGo,AMD,DEL,2023-03-18,2023-01-20,12:00,15:58,2,238,Economy,2490.0,INR,57,2026-09-05 15:43:33.402157
demo,SpiceJet,DEL,MAA,2024-03-02,2024-02-13,20:00,23:00,0,180,Economy,6109.0,INR,18,2026-09-05 15:43:33.402661
demo,AirAsia India,BLR,DEL,2023-09-08,2023-07-20,08:00,12:45,2,285,Economy,2970.0,INR,50,2026-09-05 15:43:33.402708
demo,Vistara,BLR,DEL,2023-08-29,2023-07-09,06:00,09:55,1,235,Business,20082.0,INR,51,2026-09-05 15:43:33.402708
demo,Vistara,DEL,CCU,2024-02-22,2024-02-14,14:00,16:15,0,135,Economy,6974.0,INR,8,2026-09-05 15:43:33.402708
demo,Go First,BLR,MAA,2024-03-10,2024-01-13,18:00,19:10,0,70,Economy,1944.0,INR,57,2026-09-05 15:43:33.402708
demo,AirAsia India,BOM,DEL,2023-04-28,2023-01-30,14:00,17:01,1,181,Business,11539.0,INR,88,2026-09-05 15:43:33.402708
demo,Akasa Air,DEL,HYD,2024-03-24,2024-02-16,10:00,12:30,0,150,Economy,3847.0,INR,37,2026-09-05 15:43:33.402708
demo,Go First,CCU,DEL,2023-12-28,2023-11-19,08:00,10:15,0,135,Business,13661.0,INR,39,2026-09-05 15:43:33.403251
demo,IndiGo,GOI,DEL,2023-08-12,2023-06-23,14:00,17:09,1,189,Economy,4773.0,INR,50,2026-09-05 15:43:33.403251
demo,IndiGo,BLR,BOM,2023-01-13,2022-12-14,18:00,19:45,0,105,Economy,4112.0,INR,30,2026-09-05 15:43:33.403251
demo,SpiceJet,GOI,BOM,2024-01-27,2024-01-18,16:00,17:15,0,75,Business,13491.0,INR,9,2026-09-05 15:43:33.403251
demo,Vistara,MAA,DEL,2024-01-16,2023-12-02,12:00,15:00,0,180,Economy,5887.0,INR,45,2026-09-05 15:43:33.403251
demo,Akasa Air,DEL,MAA,2024-01-09,2023-11-30,06:00,09:00,0,180,Economy,4235.0,INR,40,2026-09-05 15:43:33.403251
demo,Air India,JAI,BOM,2023-03-06,2023-02-03,12:00,14:00,0,120,Business,19144.0,INR,31,2026-09-05 15:43:33.403251
demo,Vistara,JAI,BOM,2023-09-07,2023-06-13,08:00,10:00,0,120,Economy,5989.0,INR,86,2026-09-05 15:43:33.403794
demo,Akasa Air,HYD,DEL,2024-01-27,2024-01-03,16:00,19:47,1,227,Economy,3972.0,INR,24,2026-09-05 15:43:33.403794
demo,IndiGo,DEL,HYD,2023-09-02,2023-07-24,18:00,20:30,0,150,Economy,3954.0,INR,40,2026-09-05 15:43:33.403794
demo,Akasa Air,BOM,DEL,2023-06-17,2023-04-13,14:00,16:15,0,135,Economy,3626.0,INR,65,2026-09-05 15:43:33.403794
demo,Vistara,BOM,BLR,2023-01-11,2022-11-20,06:00,07:45,0,105,Economy,4437.0,INR,52,2026-09-05 15:43:33.403794
demo,Air India,BOM,BLR,2023-12-09,2023-11-11,22:00,23:45,0,105,Economy,4196.0,INR,28,2026-09-05 15:43:33.403794
demo,Akasa Air,HYD,BOM,2024-02-18,2023-12-28,08:00,10:24,1,144,Economy,3078.0,INR,52,2026-09-05 15:43:33.404297
demo,Air India,BLR,DEL,2023-06-30,2023-06-13,08:00,10:45,0,165,Economy,5712.0,INR,17,2026-09-05 15:43:33.404334
demo,Go First,GOI,BOM,2024-03-09,2024-02-25,14:00,15:15,0,75,Economy,4847.0,INR,13,2026-09-05 15:43:33.404334
demo,SpiceJet,BLR,MAA,2023-07-09,2023-05-30,12:00,14:16,1,136,Economy,2084.0,INR,40,2026-09-05 15:43:33.404334
demo,IndiGo,DEL,BLR,2023-08-17,2023-06-25,22:00,01:43,1,223,Economy,4165.0,INR,53,2026-09-05 15:43:33.404334
demo,AirAsia India,BLR,MAA,2023-09-23,2023-08-29,12:00,14:20,1,140,Economy,2560.0,INR,25,2026-09-05 15:43:33.404334
demo,Go First,BOM,HYD,2023-10-24,2023-09-10,12:00,13:30,0,90,Economy,3157.0,INR,44,2026-09-05 15:43:33.404334
demo,Akasa Air,CCU,DEL,2023-10-12,2023-08-24,16:00,18:15,0,135,Economy,3652.0,INR,49,2026-09-05 15:43:33.404855
demo,AirAsia India,HYD,DEL,2023-01-06,2022-11-27,08:00,11:53,1,233,Premium Economy,6480.0,INR,40,2026-09-05 15:43:33.404855
demo,Air India,BLR,BOM,2023-03-01,2023-01-31,06:00,08:54,1,174,Economy,4227.0,INR,29,2026-09-05 15:43:33.404855
demo,Vistara,DEL,BOM,2024-02-03,2023-12-05,14:00,16:15,0,135,Premium Economy,8776.0,INR,60,2026-09-05 15:43:33.404855
demo,SpiceJet,HYD,DEL,2024-05-15,2024-03-21,16:00,18:30,0,150,Economy,3845.0,INR,55,2026-09-05 15:43:33.405376
demo,IndiGo,BLR,HYD,2023-10-26,2023-10-05,10:00,11:10,0,70,Economy,3362.0,INR,21,2026-09-05 15:43:33.405376
demo,SpiceJet,BLR,MAA,2023-06-23,2023-03-29,16:00,17:10,0,70,Economy,1874.0,INR,86,2026-09-05 15:43:33.405376
demo,IndiGo,DEL,BLR,2024-05-09,2024-02-14,20:00,22:45,0,165,Economy,4329.0,INR,85,2026-09-05 15:43:33.405376
demo,Air India,DEL,CCU,2023-01-25,2022-12-08,12:00,14:15,0,135,Economy,5060.0,INR,48,2026-09-05 15:43:33.405899
demo,Akasa Air,CCU,DEL,2023-02-19,2023-01-11,10:00,13:29,1,209,Economy,4069.0,INR,39,2026-09-05 15:43:33.405899
demo,Vistara,JAI,BOM,2023-10-11,2023-09-30,12:00,14:00,0,120,Economy,8704.0,INR,11,2026-09-05 15:43:33.405899
demo,Air India,BOM,HYD,2023-08-12,2023-07-14,16:00,17:30,0,90,Economy,4548.0,INR,29,2026-09-05 15:43:33.405899
demo,AirAsia India,HYD,DEL,2023-05-24,2023-04-20,18:00,21:00,1,180,Economy,3288.0,INR,34,2026-09-05 15:43:33.405899
demo,Air India,DEL,CCU,2023-02-06,2022-11-14,08:00,12:53,2,293,Economy,2701.0,INR,84,2026-09-05 15:43:33.405899
demo,Akasa Air,GOI,DEL,2023-11-24,2023-10-22,10:00,13:28,1,208,Economy,4382.0,INR,33,2026-09-05 15:43:33.406417
demo,Go First,BLR,MAA,2024-06-28,2024-04-11,06:00,08:26,1,146,Economy,2078.0,INR,78,2026-09-05 15:43:33.406417
demo,Air India,HYD,DEL,2023-03-20,2023-02-09,22:00,00:30,0,150,Economy,4267.0,INR,39,2026-09-05 15:43:33.406417
demo,Air India,DEL,BLR,2023-01-10,2023-01-08,16:00,19:55,1,235,Economy,10509.0,INR,2,2026-09-05 15:43:33.406417
demo,SpiceJet,DEL,HYD,2024-01-15,2023-10-24,14:00,17:45,1,225,Economy,3580.0,INR,83,2026-09-05 15:43:33.406417
demo,SpiceJet,DEL,MAA,2023-01-14,2022-11-23,08:00,12:12,1,252,Economy,4239.0,INR,52,2026-09-05 15:43:33.406417
demo,Air India,AMD,DEL,2023-03-09,2023-01-29,16:00,17:20,0,80,Premium Economy,6016.0,INR,39,2026-09-05 15:43:33.406417
demo,AirAsia India,BOM,MAA,2023-03-14,2022-12-21,14:00,16:00,0,120,Economy,3670.0,INR,83,2026-09-05 15:43:33.406934
demo,Vistara,AMD,DEL,2023-06-06,2023-04-20,16:00,18:47,1,167,Economy,3573.0,INR,47,2026-09-05 15:43:33.406934
demo,Go First,BOM,DEL,2023-03-22,2022-12-29,16:00,18:15,0,135,Economy,2930.0,INR,83,2026-09-05 15:43:33.406934
demo,Akasa Air,CCU,BOM,2023-08-17,2023-06-11,16:00,19:00,0,180,Economy,4987.0,INR,67,2026-09-05 15:43:33.406934
demo,IndiGo,BLR,HYD,2024-02-08,2023-11-14,08:00,10:28,1,148,Economy,2321.0,INR,86,2026-09-05 15:43:33.406934
demo,IndiGo,BOM,MAA,2023-01-10,2022-10-26,16:00,19:09,1,189,Economy,3791.0,INR,76,2026-09-05 15:43:33.406934
demo,AirAsia India,BLR,DEL,2023-09-10,2023-08-31,08:00,10:45,0,165,Economy,6245.0,INR,10,2026-09-05 15:43:33.407449
demo,Air India,BOM,BLR,2024-04-18,2024-01-25,06:00,09:00,1,180,Economy,3221.0,INR,84,2026-09-05 15:43:33.407449
demo,Akasa Air,BOM,BLR,2024-05-20,2024-03-27,06:00,07:45,0,105,Premium Economy,6667.0,INR,54,2026-09-05 15:43:33.407449
demo,Air India,MAA,DEL,2023-09-05,2023-08-11,22:00,01:00,0,180,Economy,6481.0,INR,25,2026-09-05 15:43:33.407449
demo,Air India,GOI,BOM,2024-04-04,2024-03-12,16:00,17:15,0,75,Economy,3375.0,INR,23,2026-09-05 15:43:33.407449
demo,Akasa Air,BLR,MAA,2023-11-21,2023-10-09,22:00,23:10,0,70,Business,7685.0,INR,43,2026-09-05 15:43:33.407449
demo,SpiceJet,BOM,BLR,2024-05-19,2024-05-05,08:00,10:23,1,143,Economy,4516.0,INR,14,2026-09-05 15:43:33.407449
demo,Vistara,GOI,DEL,2023-06-05,2023-05-22,08:00,10:15,0,135,Economy,7290.0,INR,14,2026-09-05 15:43:33.407964
demo,Air India,HYD,DEL,2024-01-23,2024-01-09,18:00,20:30,0,150,Economy,5527.0,INR,14,2026-09-05 15:43:33.407964
demo,AirAsia India,CCU,DEL,2023-11-19,2023-10-11,18:00,20:15,0,135,Economy,3259.0,INR,39,2026-09-05 15:43:33.407964
demo,Akasa Air,DEL,MAA,2024-06-21,2024-04-21,12:00,15:00,0,180,Premium Economy,9383.0,INR,61,2026-09-05 15:43:33.407964
demo,Air India,BLR,DEL,2023-01-24,2022-12-07,06:00,08:45,0,165,Business,16700.0,INR,48,2026-09-05 15:43:33.407964
demo,Akasa Air,JAI,BOM,2023-12-17,2023-11-30,14:00,17:04,1,184,Premium Economy,7310.0,INR,17,2026-09-05 15:43:33.407964
demo,SpiceJet,BLR,BOM,2023-07-23,2023-07-22,16:00,19:10,1,190,Economy,6868.0,INR,1,2026-09-05 15:43:33.408479
demo,SpiceJet,BLR,BOM,2023-02-28,2023-01-12,18:00,20:18,1,138,Economy,2988.0,INR,47,2026-09-05 15:43:33.408479
demo,SpiceJet,BOM,BLR,2024-04-05,2024-01-21,20:00,21:45,0,105,Economy,3562.0,INR,75,2026-09-05 15:43:33.408479
demo,IndiGo,GOI,BOM,2023-11-13,2023-08-24,16:00,17:15,0,75,Economy,3169.0,INR,81,2026-09-05 15:43:33.408479
demo,SpiceJet,CCU,BOM,2023-03-15,2023-01-08,06:00,09:00,0,180,Economy,4706.0,INR,66,2026-09-05 15:43:33.408479
demo,AirAsia India,GOI,DEL,2024-03-31,2024-02-12,10:00,12:15,0,135,Economy,4856.0,INR,48,2026-09-05 15:43:33.408479
demo,AirAsia India,DEL,BLR,2023-05-26,2023-05-03,22:00,00:45,0,165,Economy,4864.0,INR,23,2026-09-05 15:43:33.408479
demo,Akasa Air,BLR,DEL,2023-11-26,2023-11-13,14:00,16:45,0,165,Premium Economy,10676.0,INR,13,2026-09-05 15:43:33.408994
demo,Akasa Air,JAI,BOM,2023-06-28,2023-04-23,08:00,10:00,0,120,Economy,3828.0,INR,66,2026-09-05 15:43:33.408994
demo,Vistara,BOM,MAA,2024-03-08,2024-02-03,18:00,20:00,0,120,Economy,5115.0,INR,34,2026-09-05 15:43:33.408994
demo,Akasa Air,GOI,BOM,2023-06-29,2023-04-21,16:00,18:12,1,132,Economy,3003.0,INR,69,2026-09-05 15:43:33.408994
demo,IndiGo,BOM,BLR,2023-04-21,2023-03-04,20:00,21:45,0,105,Premium Economy,6340.0,INR,48,2026-09-05 15:43:33.408994
demo,AirAsia India,BLR,DEL,2023-06-07,2023-05-31,22:00,00:45,0,165,Business,25525.0,INR,7,2026-09-05 15:43:33.408994
demo,Air India,MAA,BOM,2023-10-02,2023-07-28,06:00,09:21,1,201,Economy,3518.0,INR,66,2026-09-05 15:43:33.409509
demo,Vistara,DEL,BLR,2023-02-21,2022-12-26,08:00,10:45,0,165,Economy,6140.0,INR,57,2026-09-05 15:43:33.409509
demo,IndiGo,MAA,DEL,2024-01-30,2023-11-26,18:00,21:00,0,180,Economy,5365.0,INR,65,2026-09-05 15:43:33.409509
demo,Vistara,JAI,BOM,2023-11-21,2023-10-15,22:00,00:00,0,120,Economy,6381.0,INR,37,2026-09-05 15:43:33.409509
demo,Air India,BLR,DEL,2023-02-19,2022-12-11,12:00,14:45,0,165,Economy,4493.0,INR,70,2026-09-05 15:43:33.409509
